id,name,url,stars,forks,primary_language,repo_created,first_agent_adopted_at,agent_adopt_month,agent_adopt_week,num_agent_prs,num_prs,num_human_prs,num_bot_prs,agent_prs_per_month,human_prs_per_month,bot_prs_per_month,total_prs_per_month
714042408,dewgenenny/rtl_433_discoverandsubmit,https://github.com/dewgenenny/rtl_433_discoverandsubmit,18.0,3.0,Python,2023-11-03T19:34:56Z,2025-05-18 10:11:38+00:00,2025-05,2025-W19,20,21,1.0,,"{'2025-05': 15, '2025-07': 5}",{'2024-06': 1},{},"{'2024-06': 1, '2025-05': 15, '2025-07': 5}"
643978507,langfuse/langfuse-docs,https://github.com/langfuse/langfuse-docs,128.0,117.0,Jupyter Notebook,2023-05-22T14:48:56Z,2025-05-02 07:54:43+00:00,2025-05,2025-W17,161,1964,1370.0,433.0,"{'2025-05': 15, '2025-06': 30, '2025-07': 28, '2025-08': 24, '2025-09': 25, '2025-10': 24, '2025-11': 15}","{'2024-01': 12, '2024-02': 44, '2024-03': 32, '2024-04': 47, '2024-05': 32, '2024-06': 23, '2024-07': 27, '2024-08': 29, '2024-09': 44, '2024-10': 40, '2024-11': 102, '2024-12': 54, '2025-01': 61, '2025-02': 85, '2025-03': 74, '2025-04': 48, '2025-05': 79, '2025-06': 89, '2025-07': 109, '2025-08': 97, '2025-09': 86, '2025-10': 81, '2025-11': 75}","{'2024-01': 33, '2024-02': 43, '2024-03': 42, '2024-04': 58, '2024-05': 44, '2024-06': 39, '2024-10': 35, '2024-11': 27, '2024-12': 36, '2025-01': 22, '2025-02': 10, '2025-03': 5, '2025-04': 11, '2025-05': 3, '2025-07': 6, '2025-08': 1, '2025-09': 13, '2025-10': 3, '2025-11': 2}","{'2024-01': 45, '2024-02': 87, '2024-03': 74, '2024-04': 105, '2024-05': 76, '2024-06': 62, '2024-07': 27, '2024-08': 29, '2024-09': 44, '2024-10': 75, '2024-11': 129, '2024-12': 90, '2025-01': 83, '2025-02': 95, '2025-03': 79, '2025-04': 59, '2025-05': 97, '2025-06': 119, '2025-07': 143, '2025-08': 122, '2025-09': 124, '2025-10': 108, '2025-11': 92}"
917358773,trycompai/comp,https://github.com/trycompai/comp,950.0,130.0,TypeScript,2025-01-15T20:43:05Z,2025-03-04 17:32:13+00:00,2025-03,2025-W09,32,1590,522.0,1036.0,"{'2025-03': 8, '2025-05': 8, '2025-06': 14, '2025-08': 1, '2025-11': 1}","{'2025-01': 2, '2025-02': 74, '2025-03': 105, '2025-04': 187, '2025-05': 20, '2025-06': 15, '2025-07': 3, '2025-08': 38, '2025-09': 7, '2025-10': 33, '2025-11': 38}","{'2025-04': 10, '2025-05': 163, '2025-06': 268, '2025-07': 92, '2025-08': 191, '2025-09': 130, '2025-10': 82, '2025-11': 100}","{'2025-01': 2, '2025-02': 74, '2025-03': 113, '2025-04': 197, '2025-05': 191, '2025-06': 297, '2025-07': 95, '2025-08': 230, '2025-09': 137, '2025-10': 115, '2025-11': 139}"
564066061,dotabod/frontend,https://github.com/dotabod/frontend,27.0,11.0,TypeScript,2022-11-09T23:14:58Z,2025-05-17 12:25:50+00:00,2025-05,2025-W19,21,81,56.0,4.0,"{'2025-05': 20, '2025-10': 1}","{'2024-03': 2, '2024-04': 8, '2024-05': 3, '2024-06': 3, '2024-07': 3, '2024-08': 2, '2024-09': 1, '2024-10': 4, '2024-11': 1, '2024-12': 6, '2025-01': 4, '2025-02': 6, '2025-03': 5, '2025-04': 1, '2025-05': 2, '2025-08': 3, '2025-09': 1, '2025-11': 1}","{'2024-04': 3, '2025-05': 1}","{'2024-03': 2, '2024-04': 11, '2024-05': 3, '2024-06': 3, '2024-07': 3, '2024-08': 2, '2024-09': 1, '2024-10': 4, '2024-11': 1, '2024-12': 6, '2025-01': 4, '2025-02': 6, '2025-03': 5, '2025-04': 1, '2025-05': 23, '2025-08': 3, '2025-09': 1, '2025-10': 1, '2025-11': 1}"
609134782,MihaiCristianCondrea/Android-Studio-Tutorials-Java-Edition,https://github.com/MihaiCristianCondrea/Android-Studio-Tutorials-Java-Edition,22.0,2.0,Java,2023-03-03T12:58:51Z,2025-06-04 08:41:36+00:00,2025-06,2025-W22,272,275,3.0,,"{'2025-06': 31, '2025-07': 11, '2025-08': 35, '2025-09': 187, '2025-10': 3, '2025-11': 5}","{'2024-07': 1, '2025-06': 2}",{},"{'2024-07': 1, '2025-06': 33, '2025-07': 11, '2025-08': 35, '2025-09': 187, '2025-10': 3, '2025-11': 5}"
726689202,caunt/Void,https://github.com/caunt/Void,16.0,0.0,C#,2023-12-03T04:41:31Z,2025-06-29 23:35:05+00:00,2025-06,2025-W25,611,693,52.0,30.0,"{'2025-06': 16, '2025-07': 110, '2025-08': 407, '2025-09': 37, '2025-10': 24, '2025-11': 17}","{'2025-04': 5, '2025-06': 1, '2025-07': 7, '2025-08': 39}","{'2025-04': 19, '2025-05': 9, '2025-06': 1, '2025-08': 1}","{'2025-04': 24, '2025-05': 9, '2025-06': 18, '2025-07': 117, '2025-08': 447, '2025-09': 37, '2025-10': 24, '2025-11': 17}"
239286108,RobinL/robinl.github.io,https://github.com/RobinL/robinl.github.io,14.0,4.0,MDX,2020-02-09T10:36:19Z,2025-06-03 21:39:10+00:00,2025-06,2025-W22,35,87,52.0,,"{'2025-06': 18, '2025-07': 4, '2025-08': 4, '2025-09': 4, '2025-10': 4, '2025-11': 1}","{'2024-01': 7, '2024-04': 1, '2024-09': 9, '2024-12': 3, '2025-01': 11, '2025-02': 7, '2025-03': 1, '2025-04': 3, '2025-05': 1, '2025-06': 6, '2025-09': 2, '2025-11': 1}",{},"{'2024-01': 7, '2024-04': 1, '2024-09': 9, '2024-12': 3, '2025-01': 11, '2025-02': 7, '2025-03': 1, '2025-04': 3, '2025-05': 1, '2025-06': 24, '2025-07': 4, '2025-08': 4, '2025-09': 6, '2025-10': 4, '2025-11': 2}"
380655938,roeniss/dhlottery-api,https://github.com/roeniss/dhlottery-api,203.0,34.0,Python,2021-06-27T05:10:14Z,2025-07-23 05:10:44+00:00,2025-07,2025-W29,14,72,58.0,,{'2025-07': 14},"{'2024-01': 4, '2024-02': 31, '2024-03': 4, '2024-07': 3, '2024-08': 3, '2024-10': 1, '2025-01': 2, '2025-05': 2, '2025-07': 8}",{},"{'2024-01': 4, '2024-02': 31, '2024-03': 4, '2024-07': 3, '2024-08': 3, '2024-10': 1, '2025-01': 2, '2025-05': 2, '2025-07': 22}"
946754858,gleanwork/mcp-server,https://github.com/gleanwork/mcp-server,45.0,15.0,TypeScript,2025-03-11T16:14:59Z,2025-06-19 19:05:07+00:00,2025-06,2025-W24,16,296,133.0,147.0,"{'2025-06': 6, '2025-07': 10}","{'2025-03': 13, '2025-04': 6, '2025-05': 46, '2025-06': 46, '2025-07': 8, '2025-08': 6, '2025-09': 4, '2025-10': 2, '2025-11': 2}","{'2025-03': 13, '2025-04': 20, '2025-05': 25, '2025-06': 25, '2025-07': 19, '2025-08': 12, '2025-09': 16, '2025-10': 13, '2025-11': 4}","{'2025-03': 26, '2025-04': 26, '2025-05': 71, '2025-06': 77, '2025-07': 37, '2025-08': 18, '2025-09': 20, '2025-10': 15, '2025-11': 6}"
38137840,gojiplus/tuber,https://github.com/gojiplus/tuber,186.0,54.0,R,2015-06-26T22:55:16Z,2025-07-09 19:40:20+00:00,2025-07,2025-W27,17,22,5.0,,"{'2025-07': 15, '2025-08': 1, '2025-09': 1}","{'2024-04': 2, '2024-07': 1, '2025-07': 2}",{},"{'2024-04': 2, '2024-07': 1, '2025-07': 17, '2025-08': 1, '2025-09': 1}"
