repo_name,maturity_level
microsoft/vivainsights,1
microsoft/vscode,3
microsoft/vscode-pull-request-github,2
microsoft/vscode-python-environments,3
microsoft/vstest,2
mikedemarais/granola-ts-client,2
mitsuhiko/insta,1
mochilang/mochi,1
mrworf/iceshelf,1
nagisa77/yt-dlp-translate,1
nayeem-ahmad/messagehub,1
near/nearcore,1
neondatabase/neon,1
nipy/nitransforms,1
nirum/jetplot,2
nkdAgility/azure-devops-migration-tools,2
novuhq/novu,3
numbagg/numbagg,2
obi1kenobi/cargo-semver-checks,2
ok97465/spyder_okvim,1
onlook-dev/onlook,2
onnx/onnx,2
open-learning-exchange/myplanet,2
openSVM/aeamcp,4
openai/openai-agents-python,2
openfga/cli,1
openops-cloud/openops,2
ottogroup/pixaris,2
oven-sh/bun,3
paperswithbacktest/pwb-alphaevolve,1
parse-community/parse-dashboard,1
pattty847/Trade-Suite-v2,4
phel-lang/phel-lang,2
phellipeandrade/rbac,1
polkadot-cloud/polkadot-staking-dashboard,1
ponytailer/pydantic-client,1
praveenjuge/mynaui-icons,1
prebid/Prebid.js,2
prebid/prebid.github.io,1
primer/react,2
promptfoo/promptfoo,2
pyth-network/pyth-crosschain,1
python/python-docs-zh-tw,1
pytorch/test-infra,1
quantDIY/QuantX,1
rainbow-me/rainbowkit,2
receptron/graphai,1
reflex-dev/reflex-web,1
reown-com/appkit,3
reown-com/reown-docs,1
rerost/giro,1
rictic/jsonriver,1
risingwavelabs/risingwave,2
roboflow/inference,2
roeniss/dhlottery-api,1
rqlite/rqlite,2
rsyslog/rsyslog,2
ryokun6/ryos,3
santif/ex_fix,1
sashabaranov/go-openai,1
saturday06/VRM-Addon-for-Blender,1
scottprahl/laserbeamsize,1
selcukorkmaz/fastml,1
shiosyakeyakini-info/miria,2
simonw/tools,1
simpleanalytics/scripts,1
skip-mev/skip-go,4
smalaca/training-center-microservices,1
soaringswine/lazyrecon_docker,1
soundwrightpro/FRUITY-NILA,1
spaceshelter/orbitar,2
specmatic/specmatic,1
sqlrooms/sqlrooms,2
stanfordnlp/dspy,1
statsig-io/docs,1
stevehansen/csv,2
superagent-ai/vibekit,1
supermarsx/magisk-samsung-dex-standalone-mode,1
supermarsx/whoisdigger,1
swarmauri/swarmauri-sdk,2
swcstudio/autobots.ai,1
synth-inc/onit,1
tani/org-roam-ui-lite,1
team-mirai/policy,1
tegnike/aituber-kit,2
theallyprompts/PixelPruner,1
thecsw/darkness,1
theosanderson/taxonium,2
theweebcoders/CommercialBreaker,2
thirdweb-dev/js,2
thorek1/MacroModelling.jl,2
timburgan/timburgan,1
tinygrad/tinygrad,2
tokens-studio/figma-plugin,3
tom-doerr/agent,2
tom-lubenow/axum-reverse-proxy,1
tomascupr/thinkthread,1
tomhrr/cosh,2
towns-protocol/towns,2
tracking202/prosper202,2
trycompai/comp,2
tscircuit/circuit-json,1
tscircuit/circuit-to-svg,2
tscircuit/core,2
tscircuit/footprinter,1
tscircuit/jlcsearch,1
tscircuit/simple-3d-svg,2
tscircuit/tscircuit.com,2
ttm/music,1
universal-tool-calling-protocol/go-utcp,1
usnistgov/AFL-automation,2
vdaas/vald,1
vellum-ai/vellum-python-sdks,1
vizzdoom/sqlmap-command-builder,1
vlm-run/vlmrun-hub,1
vlm-run/vlmrun-node-sdk,2
vlm-run/vlmrun-python-sdk,1
waldzellai/waldzell-mcp,4
wieslawsoltes/Dock,2
wieslawsoltes/Svg.Skia,2
wieslawsoltes/Xaml.Behaviors,1
wifiuk/OpenAI-GPT-4o-Mini-TTS-Home-Assistant-Integration,1
wolfSSL/wolfssl,1
wvlet/airframe,2
x-CK-x/Dataset-Curation-Tool,1
xpinjection/test-driven-spring-boot,2
yamadashy/google-sheets-tabs-on-top,1
yamadashy/slack-channels-grouping,1
yarivluts/firebase-orm,1
ydb-platform/ydb-embedded-ui,2
yiisoft-contrib/yiiframework.com,1
yoheinakajima/KeepYard,1
zackproser/portfolio,1
zhukovaskychina/xmysql-server,1
zhuochun/notion-toolset,1
zoedolan/Vybn,4
